country,indicator,percent,year
Ethiopia,GDP growth (annual %),10.58227005,2013
Ethiopia,GDP growth (annual %),8.647811633,2012
Ethiopia,GDP growth (annual %),11.17829623,2011
Ethiopia,GDP growth (annual %),12.55053835,2010
Ethiopia,GDP growth (annual %),8.802553198,2009
Ethiopia,GDP growth (annual %),10.78852169,2008
Ethiopia,GDP growth (annual %),11.456167,2007
Ethiopia,GDP growth (annual %),10.83472707,2006
Ethiopia,GDP growth (annual %),11.81876595,2005
Ethiopia,GDP growth (annual %),13.57260314,2004
Ethiopia,GDP growth (annual %),-2.161359722,2003
Ethiopia,GDP growth (annual %),1.514725706,2002
Ethiopia,GDP growth (annual %),8.301306321,2001
Ethiopia,GDP growth (annual %),6.07321748,2000
Ethiopia,GDP growth (annual %),5.162145821,1999
Ethiopia,GDP growth (annual %),-3.458139134,1998
Ethiopia,GDP growth (annual %),3.133906851,1997
Ethiopia,GDP growth (annual %),12.42617378,1996
Ethiopia,GDP growth (annual %),6.127511414,1995
Ethiopia,GDP growth (annual %),3.189964582,1994
Ethiopia,GDP growth (annual %),13.14283398,1993
Ethiopia,GDP growth (annual %),-8.672480148,1992
Ethiopia,GDP growth (annual %),-7.1374797,1991
Ethiopia,GDP growth (annual %),2.726451783,1990
Ethiopia,GDP growth (annual %),-0.36104418,1989
Ethiopia,GDP growth (annual %),0.503674879,1988
Ethiopia,GDP growth (annual %),13.8593304,1987
Ethiopia,GDP growth (annual %),9.661612359,1986
Ethiopia,GDP growth (annual %),-11.14435298,1985
Ethiopia,GDP growth (annual %),-2.848021453,1984
Ethiopia,GDP growth (annual %),8.235005718,1983
Ethiopia,GDP growth (annual %),0.916013858,1982
Rwanda,GDP growth (annual %),8.671683394,2018
Rwanda,GDP growth (annual %),6.057831319,2017
Rwanda,GDP growth (annual %),5.981314913,2016
Rwanda,GDP growth (annual %),8.867977374,2015
Rwanda,GDP growth (annual %),7.62457575,2014
Rwanda,GDP growth (annual %),4.713550714,2013
Rwanda,GDP growth (annual %),8.820321117,2012
Rwanda,GDP growth (annual %),7.783920275,2011
Rwanda,GDP growth (annual %),7.338194817,2010
Rwanda,GDP growth (annual %),6.255647061,2009
Rwanda,GDP growth (annual %),11.1672534,2008
Rwanda,GDP growth (annual %),7.681564984,2007
Rwanda,GDP growth (annual %),9.227091484,2006
Rwanda,GDP growth (annual %),9.377875686,2005
Rwanda,GDP growth (annual %),7.447699419,2004
Rwanda,GDP growth (annual %),2.202376415,2003
Rwanda,GDP growth (annual %),13.19206519,2002
Rwanda,GDP growth (annual %),8.484539669,2001
Rwanda,GDP growth (annual %),8.370910445,2000
Rwanda,GDP growth (annual %),4.262760871,1999
Rwanda,GDP growth (annual %),8.858669496,1998
Rwanda,GDP growth (annual %),13.84975249,1997
Rwanda,GDP growth (annual %),12.74569576,1996
Rwanda,GDP growth (annual %),35.22407831,1995
Rwanda,GDP growth (annual %),-50.2480671,1994
Rwanda,GDP growth (annual %),-8.108691874,1993
Rwanda,GDP growth (annual %),5.872725234,1992
Rwanda,GDP growth (annual %),-2.514379654,1991
Rwanda,GDP growth (annual %),-2.399291097,1990
Rwanda,GDP growth (annual %),-0.036534274,1989
Rwanda,GDP growth (annual %),4.498824993,1988
Rwanda,GDP growth (annual %),-0.024036108,1987
Rwanda,GDP growth (annual %),5.472137486,1986
Rwanda,GDP growth (annual %),4.402748336,1985
Rwanda,GDP growth (annual %),-4.240773281,1984
Rwanda,GDP growth (annual %),5.980349936,1983
Rwanda,GDP growth (annual %),1.810846446,1982
Rwanda,GDP growth (annual %),5.43619948,1981
Rwanda,GDP growth (annual %),8.951612331,1980
